dateRep,day,month,year,cases,deaths,countriesAndTerritories
14/12/2020,14,12,2020,746,6,Afghanistan
13/12/2020,13,12,2020,298,9,Afghanistan
12/12/2020,12,12,2020,113,11,Afghanistan
11/12/2020,11,12,2020,63,10,Afghanistan
10/12/2020,10,12,2020,202,16,Afghanistan
09/12/2020,9,12,2020,135,13,Afghanistan
08/12/2020,8,12,2020,200,6,Afghanistan
07/12/2020,7,12,2020,210,26,Afghanistan
06/12/2020,6,12,2020,234,10,Afghanistan
05/12/2020,5,12,2020,235,18,Afghanistan
04/12/2020,4,12,2020,119,5,Afghanistan
03/12/2020,3,12,2020,202,19,Afghanistan
02/12/2020,2,12,2020,400,48,Afghanistan
01/12/2020,1,12,2020,272,11,Afghanistan
30/11/2020,30,11,2020,0,0,Afghanistan
29/11/2020,29,11,2020,228,11,Afghanistan
28/11/2020,28,11,2020,214,15,Afghanistan
27/11/2020,27,11,2020,0,0,Afghanistan
26/11/2020,26,11,2020,200,12,Afghanistan
25/11/2020,25,11,2020,185,13,Afghanistan
24/11/2020,24,11,2020,246,17,Afghanistan
23/11/2020,23,11,2020,252,8,Afghanistan
22/11/2020,22,11,2020,154,12,Afghanistan
21/11/2020,21,11,2020,232,25,Afghanistan
20/11/2020,20,11,2020,282,5,Afghanistan
19/11/2020,19,11,2020,0,0,Afghanistan
18/11/2020,18,11,2020,383,13,Afghanistan
17/11/2020,17,11,2020,65,6,Afghanistan
16/11/2020,16,11,2020,163,9,Afghanistan
15/11/2020,15,11,2020,205,12,Afghanistan
14/11/2020,14,11,2020,66,10,Afghanistan
13/11/2020,13,11,2020,360,14,Afghanistan
12/11/2020,12,11,2020,146,4,Afghanistan
11/11/2020,11,11,2020,0,0,Afghanistan
10/11/2020,10,11,2020,224,12,Afghanistan
09/11/2020,9,11,2020,80,3,Afghanistan
08/11/2020,8,11,2020,126,6,Afghanistan
07/11/2020,7,11,2020,58,2,Afghanistan
06/11/2020,6,11,2020,40,0,Afghanistan
05/11/2020,5,11,2020,121,6,Afghanistan
04/11/2020,4,11,2020,86,4,Afghanistan
03/11/2020,3,11,2020,95,3,Afghanistan
02/11/2020,2,11,2020,132,5,Afghanistan
01/11/2020,1,11,2020,76,0,Afghanistan
31/10/2020,31,10,2020,157,4,Afghanistan
30/10/2020,30,10,2020,123,3,Afghanistan
29/10/2020,29,10,2020,0,0,Afghanistan
28/10/2020,28,10,2020,113,7,Afghanistan
27/10/2020,27,10,2020,199,8,Afghanistan
26/10/2020,26,10,2020,65,3,Afghanistan
25/10/2020,25,10,2020,81,4,Afghanistan
24/10/2020,24,10,2020,61,2,Afghanistan
23/10/2020,23,10,2020,116,4,Afghanistan
22/10/2020,22,10,2020,135,2,Afghanistan
21/10/2020,21,10,2020,88,2,Afghanistan
20/10/2020,20,10,2020,87,5,Afghanistan
19/10/2020,19,10,2020,59,4,Afghanistan
18/10/2020,18,10,2020,68,3,Afghanistan
17/10/2020,17,10,2020,47,4,Afghanistan
16/10/2020,16,10,2020,0,0,Afghanistan
15/10/2020,15,10,2020,32,1,Afghanistan
14/10/2020,14,10,2020,66,0,Afghanistan
13/10/2020,13,10,2020,129,3,Afghanistan
12/10/2020,12,10,2020,96,4,Afghanistan
11/10/2020,11,10,2020,0,0,Afghanistan
10/10/2020,10,10,2020,10,1,Afghanistan
09/10/2020,9,10,2020,77,2,Afghanistan
08/10/2020,8,10,2020,68,1,Afghanistan
07/10/2020,7,10,2020,62,2,Afghanistan
06/10/2020,6,10,2020,145,5,Afghanistan
05/10/2020,5,10,2020,44,0,Afghanistan
04/10/2020,4,10,2020,7,4,Afghanistan
03/10/2020,3,10,2020,5,0,Afghanistan
02/10/2020,2,10,2020,17,0,Afghanistan
01/10/2020,1,10,2020,14,0,Afghanistan
30/09/2020,30,9,2020,15,2,Afghanistan
29/09/2020,29,9,2020,12,3,Afghanistan
28/09/2020,28,9,2020,0,0,Afghanistan
27/09/2020,27,9,2020,35,0,Afghanistan
26/09/2020,26,9,2020,6,2,Afghanistan
25/09/2020,25,9,2020,16,0,Afghanistan
24/09/2020,24,9,2020,25,5,Afghanistan
23/09/2020,23,9,2020,71,2,Afghanistan
22/09/2020,22,9,2020,30,3,Afghanistan
21/09/2020,21,9,2020,0,0,Afghanistan
20/09/2020,20,9,2020,125,4,Afghanistan
